gene	transcript	entrez	ensemblGene	ensemblTranscript	chrom	start	end	strand
HEATR6	NM_022070.5	63897	ENSG00000068097.16	ENST00000184956.11	chr17	60041008	60078921	-
SH2D4A	NM_022071.4	63898	ENSG00000104611.12	ENST00000265807.8	chr8	19313693	19396218	+
NSUN3	NM_022072.5	63899	ENSG00000178694.10	ENST00000314622.9	chr3	94063061	94131832	+
FAM111A	NM_001312909.2	63901	ENSG00000166801.17	ENST00000675163.1	chr11	59142856	59155039	+
DUSP21	NM_022076.4	63904	ENSG00000189037.8	ENST00000339042.6	chr23	44844021	44844888	+
MANBAL	NM_001003897.2	63905	ENSG00000101363.13	ENST00000373606.8	chr20	37289655	37317260	+
GPATCH3	NM_022078.3	63906	ENSG00000198746.13	ENST00000361720.10	chr1	26890488	26900467	-
NAPB	NM_022080.3	63908	ENSG00000125814.17	ENST00000377026.4	chr20	23374522	23421488	-
SLC17A9	NM_022082.4	63910	ENSG00000101194.18	ENST00000370351.9	chr20	62952709	62969585	+
BLOC1S5	NM_201280.3	63915	ENSG00000188428.20	ENST00000397457.7	chr6	8013567	8064389	-
ELMO2	NM_133171.5	63916	ENSG00000062598.18	ENST00000290246.11	chr20	46366050	46406615	-
GALNT11	NM_022087.4	63917	ENSG00000178234.14	ENST00000430044.7	chr7	152025674	152122340	+
FAM200C	NM_022090.5	63920	ENSG00000221886.4	ENST00000408953.4	chr5	160393148	160400054	-
CHTF18	NM_022092.3	63922	ENSG00000127586.17	ENST00000262315.14	chr16	788620	798074	+
TNN	NM_022093.2	63923	ENSG00000120332.17	ENST00000239462.9	chr1	175067833	175148075	+
CIDEC	NM_001321142.2	63924	ENSG00000187288.12	ENST00000336832.7	chr3	9866714	9880253	-
ZNF335	NM_022095.4	63925	ENSG00000198026.8	ENST00000322927.3	chr20	45948660	45972203	-
ANKEF1	NM_022096.6	63926	ENSG00000132623.16	ENST00000378392.6	chr20	10034987	10058303	+
CHP2	NM_022097.4	63928	ENSG00000166869.3	ENST00000300113.3	chr16	23755026	23758935	+
XPNPEP3	NM_022098.4	63929	ENSG00000196236.13	ENST00000357137.9	chr22	40857148	40932815	+
MRPS14	NM_022100.3	63931	ENSG00000120333.4	ENST00000476371.1	chr1	175012958	175023425	-
STEEP1	NM_022101.4	63932	ENSG00000018610.15	ENST00000644802.2	chr23	119538149	119565409	-
MCUR1	NM_001031713.4	63933	ENSG00000050393.12	ENST00000379170.9	chr6	13786557	13814557	-
ZNF667	NM_001321356.2	63934	ENSG00000198046.13	ENST00000504904.8	chr19	56439329	56477345	-
PCIF1	NM_022104.4	63935	ENSG00000100982.12	ENST00000372409.8	chr20	45934683	45948020	+
FAM217B	NM_022106.3	63939	ENSG00000196227.11	ENST00000360816.8	chr20	59940389	59948680	+
GPSM3	NM_001276501.2	63940	ENSG00000213654.10	ENST00000375040.8	chr6	32190766	32192643	-
NECAB3	NM_031232.4	63941	ENSG00000125967.17	ENST00000246190.11	chr20	33657087	33674428	-
FKBPL	NM_022110.4	63943	ENSG00000204315.4	ENST00000375156.4	chr6	32128707	32130288	-
DMRTC2	NM_001040283.3	63946	ENSG00000142025.16	ENST00000269945.8	chr19	41845042	41852333	+
DMRTC1	NM_033053.3	63947	ENSG00000269502.6	ENST00000615063.2	chr23	72872025	72943837	-
DMRTB1	NM_033067.3	63948	ENSG00000143006.7	ENST00000371445.3	chr1	53459399	53467488	+
DMRTA2	NM_032110.3	63950	ENSG00000142700.12	ENST00000404795.4	chr1	50417550	50423443	-
DMRTA1	NM_022160.3	63951	ENSG00000176399.4	ENST00000325870.3	chr9	22446824	22455740	+
CLSPN	NM_022111.4	63967	ENSG00000092853.14	ENST00000318121.8	chr1	35732112	35769978	-
TP53AIP1	NM_022112.3	63970	ENSG00000120471.16	ENST00000531399.6	chr11	128935370	128942871	-
KIF13A	NM_022113.6	63971	ENSG00000137177.20	ENST00000259711.11	chr6	17763693	17987635	-
NEUROG2	NM_024019.4	63973	ENSG00000178403.4	ENST00000313341.4	chr4	112513516	112516180	-
NEUROD6	NM_022728.4	63974	ENSG00000164600.7	ENST00000297142.4	chr7	31337465	31340726	-
PRDM16	NM_022114.4	63976	ENSG00000142611.17	ENST00000270722.10	chr1	3069203	3438621	+
PRDM15	NM_001040424.3	63977	ENSG00000141956.14	ENST00000398548.6	chr21	41798225	41879344	-
PRDM14	NM_024504.4	63978	ENSG00000147596.4	ENST00000276594.3	chr8	70051651	70071252	-
FIGNL1	NM_001287492.4	63979	ENSG00000132436.13	ENST00000433017.6	chr7	50444133	50450350	-
ANO3	NM_031418.4	63982	ENSG00000134343.14	ENST00000256737.8	chr11	26332130	26663289	+
MYO1G	NM_033054.3	64005	ENSG00000136286.16	ENST00000258787.12	chr7	44962662	44979015	-
TSPYL2	NM_022117.4	64061	ENSG00000184205.14	ENST00000375442.8	chr23	53082367	53088540	+
RBM26	NM_001366735.2	64062	ENSG00000139746.16	ENST00000438737.3	chr13	79318868	79406255	-
PRSS22	NM_022119.4	64063	ENSG00000005001.10	ENST00000161006.8	chr16	2852730	2858170	-
OXCT2	NM_022120.2	64064	ENSG00000198754.5	ENST00000327582.5	chr1	39769523	39771348	-
PERP	NM_022121.5	64065	ENSG00000112378.12	ENST00000421351.4	chr6	138088505	138107419	-
MMP27	NM_022122.3	64066	ENSG00000137675.5	ENST00000260229.5	chr11	102691487	102705769	-
NPAS3	NM_001164749.2	64067	ENSG00000151322.20	ENST00000356141.9	chr14	32938879	33804173	+
CDH23	NM_022124.6	64072	ENSG00000107736.22	ENST00000224721.12	chr10	71396920	71815947	+
C19orf33	NM_033520.3	64073	ENSG00000167644.12	ENST00000301246.10	chr19	38304251	38305006	+
LHPP	NM_022126.4	64077	ENSG00000107902.14	ENST00000368842.10	chr10	124461823	124614141	+
SLC28A3	NM_001199633.2	64078	ENSG00000197506.8	ENST00000376238.5	chr9	84275457	84340758	-
RBKS	NM_022128.3	64080	ENSG00000171174.15	ENST00000302188.8	chr2	27781379	27890387	-
PBLD	NM_022129.4	64081	ENSG00000108187.16	ENST00000358769.7	chr10	68282660	68332928	-
GOLPH3	NM_022130.4	64083	ENSG00000113384.14	ENST00000265070.7	chr5	32124716	32174319	-
CLSTN2	NM_022131.3	64084	ENSG00000158258.16	ENST00000458420.7	chr3	139935185	140577397	+
MCCC2	NM_022132.5	64087	ENSG00000131844.17	ENST00000340941.11	chr5	71587340	71658706	+
SNX16	NM_152836.3	64089	ENSG00000104497.15	ENST00000345957.9	chr8	81799583	81842185	-
GAL3ST2	NM_022134.3	64090	ENSG00000154252.12	ENST00000192314.7	chr2	241776822	241804287	+
POPDC2	NM_001369919.2	64091	ENSG00000121577.14	ENST00000493094.6	chr3	119642056	119660589	-
SAMSN1	NM_022136.5	64092	ENSG00000155307.19	ENST00000400566.6	chr21	14485228	14546315	-
SMOC1	NM_001034852.3	64093	ENSG00000198732.11	ENST00000361956.8	chr14	69879416	70032366	+
SMOC2	NM_001166412.2	64094	ENSG00000112562.20	ENST00000356284.7	chr6	168441184	168667992	+
GFRA4	NM_022139.4	64096	ENSG00000125861.16	ENST00000290417.7	chr20	3659248	3663399	-
EPB41L4A	NM_022140.5	64097	ENSG00000129595.14	ENST00000261486.6	chr5	112162619	112419277	-
PARVG	NM_022141.7	64098	ENSG00000138964.18	ENST00000444313.8	chr22	44180925	44208469	+
ELSPBP1	NM_022142.5	64100	ENSG00000169393.10	ENST00000339841.7	chr19	47994632	48025154	+
LRRC4	NM_022143.5	64101	ENSG00000128594.8	ENST00000249363.4	chr7	128027071	128031437	-
TNMD	NM_022144.3	64102	ENSG00000000005.6	ENST00000373031.5	chr23	100584936	100599885	+
CENPK	NM_022145.5	64105	ENSG00000123219.13	ENST00000396679.6	chr5	65517766	65563168	-
NPFFR1	NM_022146.5	64106	ENSG00000148734.8	ENST00000277942.7	chr10	70247329	70284004	-
RTP4	NM_022147.3	64108	ENSG00000136514.3	ENST00000259030.3	chr3	187368385	187372076	+
CRLF2	NM_022148.4	64109	ENSG00000205755.13	ENST00000400841.8	chr23	1190490	1212649	-
MAGEF1	NM_022149.5	64110	ENSG00000177383.5	ENST00000317897.5	chr3	184710364	184712064	-
NPVF	NM_022150.3	64111	ENSG00000105954.2	ENST00000222674.2	chr7	25224570	25228486	-
MOAP1	NM_022151.5	64112	ENSG00000165943.5	ENST00000298894.5	chr14	93182199	93184897	-
TMBIM1	NM_022152.6	64114	ENSG00000135926.15	ENST00000258412.8	chr2	218274197	218292503	-
VSIR	NM_022153.2	64115	ENSG00000107738.20	ENST00000394957.8	chr10	71747556	71773520	-
SLC39A8	NM_001135146.2	64116	ENSG00000138821.14	ENST00000356736.5	chr4	102261666	102345482	-
DUS1L	NM_022156.5	64118	ENSG00000169718.18	ENST00000306796.10	chr17	82057506	82065804	-
RRAGC	NM_022157.4	64121	ENSG00000116954.8	ENST00000373001.4	chr1	38838198	38859772	-
FN3K	NM_022158.4	64122	ENSG00000167363.14	ENST00000300784.8	chr17	82735615	82751196	+
ADGRL4	NM_022159.4	64123	ENSG00000162618.15	ENST00000370742.4	chr1	78889764	79006730	-
NOD2	NM_001370466.1	64127	ENSG00000167207.15	ENST00000647318.2	chr16	50693606	50733075	+
TINAGL1	NM_022164.3	64129	ENSG00000142910.16	ENST00000271064.12	chr1	31576515	31587686	+
LIN7B	NM_022165.3	64130	ENSG00000104863.12	ENST00000221459.7	chr19	49114370	49118460	+
XYLT1	NM_022166.4	64131	ENSG00000103489.12	ENST00000261381.7	chr16	17101769	17470960	-
XYLT2	NM_022167.4	64132	ENSG00000015532.10	ENST00000017003.7	chr17	50346126	50361185	+
IFIH1	NM_022168.4	64135	ENSG00000115267.10	ENST00000649979.2	chr2	162267074	162318684	-
ABCG4	NM_022169.5	64137	ENSG00000172350.10	ENST00000619701.5	chr11	119149052	119162653	+
RBSN	NM_022340.4	64145	ENSG00000131381.13	ENST00000253699.7	chr3	15070073	15099148	-
PDF	NM_022341.2	64146	ENSG00000258429.2	ENST00000288022.2	chr16	69326913	69330588	-
KIF9	NM_182902.4	64147	ENSG00000088727.14	ENST00000684063.1	chr3	47227998	47282799	-
C17orf75	NM_022344.4	64149	ENSG00000108666.11	ENST00000577809.6	chr17	32328441	32342173	-
NCAPG	NM_022346.5	64151	ENSG00000109805.10	ENST00000251496.7	chr4	17810979	17844865	+
ERAP2	NM_022350.5	64167	ENSG00000164308.18	ENST00000437043.8	chr5	96876500	96919703	+
NECAB1	NM_022351.5	64168	ENSG00000123119.12	ENST00000417640.7	chr8	90791775	90959393	+
CARD9	NM_052813.5	64170	ENSG00000187796.16	ENST00000371732.10	chr9	136363956	136373669	-
OSGEPL1	NM_022353.3	64172	ENSG00000128694.12	ENST00000264151.10	chr2	189746660	189762792	-
DPEP2	NM_022355.4	64174	ENSG00000167261.14	ENST00000393847.6	chr16	67987394	67999484	-
P3H1	NM_022356.4	64175	ENSG00000117385.16	ENST00000296388.10	chr1	42746374	42767028	-
DPEP3	NM_001370198.1	64180	ENSG00000141096.6	ENST00000268793.6	chr16	67975663	67980499	-
EDDM3B	NM_022360.5	64184	ENSG00000181552.4	ENST00000326783.4	chr14	20768404	20770948	+
IRF2BPL	NM_024496.4	64207	ENSG00000119669.5	ENST00000238647.5	chr14	77024543	77028708	-
POPDC3	NM_022361.5	64208	ENSG00000132429.10	ENST00000254765.4	chr6	105157900	105180014	-
MMS19	NM_022362.5	64210	ENSG00000155229.21	ENST00000438925.7	chr10	97458324	97498422	-
LHX5	NM_022363.3	64211	ENSG00000089116.4	ENST00000261731.4	chr12	113462033	113471871	-
DNAJC1	NM_022365.4	64215	ENSG00000136770.11	ENST00000376980.8	chr10	21756548	22003730	-
TFB2M	NM_022366.3	64216	ENSG00000162851.8	ENST00000366514.5	chr1	246540561	246566261	-
SEMA4A	NM_022367.4	64218	ENSG00000196189.14	ENST00000368285.8	chr1	156153585	156177744	+
PJA1	NM_001032396.4	64219	ENSG00000181191.12	ENST00000374571.5	chr23	69160861	69165453	-
STRA6	NM_022369.4	64220	ENSG00000137868.19	ENST00000395105.9	chr15	74179466	74202787	-
ROBO3	NM_022370.4	64221	ENSG00000154134.15	ENST00000397801.6	chr11	124865432	124881471	+
TOR3A	NM_022371.4	64222	ENSG00000186283.14	ENST00000367627.8	chr1	179082070	179095996	+
MLST8	NM_022372.6	64223	ENSG00000167965.18	ENST00000569417.6	chr16	2205454	2209453	+
HERPUD2	NM_022373.5	64224	ENSG00000122557.11	ENST00000311350.8	chr7	35632659	35695135	-
ATL2	NM_001135673.4	64225	ENSG00000119787.14	ENST00000378954.9	chr2	38293954	38377273	-
MS4A6A	NM_022349.4	64231	ENSG00000110077.16	ENST00000528851.6	chr11	60172497	60183083	-
MS4A5	NM_023945.3	64232	ENSG00000166930.7	ENST00000300190.7	chr11	60429572	60447792	+
PDLIM2	NM_001368120.1	64236	ENSG00000120913.24	ENST00000409417.6	chr8	22580475	22594298	+
ABCG5	NM_022436.3	64240	ENSG00000138075.14	ENST00000405322.8	chr2	43812472	43838839	-
ABCG8	NM_022437.3	64241	ENSG00000143921.9	ENST00000272286.4	chr2	43838971	43882988	+
TENT4B	NM_001365324.3	64282	ENSG00000121274.14	ENST00000561678.7	chr16	50153306	50235310	+
ARHGEF28	NM_001177693.2	64283	ENSG00000214944.10	ENST00000513042.7	chr5	73626196	73941990	+
RAB17	NM_022449.4	64284	ENSG00000124839.13	ENST00000264601.8	chr2	237574326	237590734	-
RHBDF1	NM_022450.5	64285	ENSG00000007384.15	ENST00000262316.10	chr16	58059	72631	-
ZSCAN31	NM_030899.5	64288	ENSG00000235109.8	ENST00000344279.11	chr6	28324737	28336148	-
NOC3L	NM_022451.11	64318	ENSG00000173145.11	ENST00000371361.3	chr10	94333226	94362939	-
FBRS	NM_001105079.3	64319	ENSG00000156860.16	ENST00000356166.11	chr16	30658431	30670810	+
RNF25	NM_022453.3	64320	ENSG00000163481.8	ENST00000295704.7	chr2	218663892	218672002	-
SOX17	NM_022454.4	64321	ENSG00000164736.6	ENST00000297316.5	chr8	54457935	54460892	+
NSD1	NM_022455.5	64324	ENSG00000165671.22	ENST00000439151.7	chr5	177133773	177300213	+
COP1	NM_022457.7	64326	ENSG00000143207.21	ENST00000367669.8	chr1	175944831	176207286	-
LMBR1	NM_022458.4	64327	ENSG00000105983.23	ENST00000353442.10	chr7	156677791	156893183	-
XPO4	NM_022459.5	64328	ENSG00000132953.18	ENST00000255305.11	chr13	20777329	20902746	-
NFKBIZ	NM_031419.4	64332	ENSG00000144802.11	ENST00000326172.9	chr3	101849514	101861022	+
ARHGAP9	NM_032496.4	64333	ENSG00000123329.20	ENST00000393791.8	chr12	57472269	57479866	-
HS1BP3	NM_022460.4	64342	ENSG00000118960.13	ENST00000304031.8	chr2	20617818	20651098	-
AZI2	NM_022461.5	64343	ENSG00000163512.14	ENST00000479665.6	chr3	28321047	28348824	-
HIF3A	NM_152795.4	64344	ENSG00000124440.16	ENST00000377670.9	chr19	46297042	46343433	+
NXN	NM_022463.5	64359	ENSG00000167693.17	ENST00000336868.8	chr17	799310	979776	-
SIL1	NM_022464.5	64374	ENSG00000120725.13	ENST00000394817.7	chr5	138946724	139198368	-
IKZF4	NM_022465.4	64375	ENSG00000123411.15	ENST00000547167.6	chr12	56021043	56038435	+
IKZF5	NM_001372123.1	64376	ENSG00000095574.12	ENST00000368886.10	chr10	122990807	123008795	-
CHST8	NM_001127895.2	64377	ENSG00000124302.13	ENST00000650847.1	chr19	33621953	33773506	+
MMP25	NM_022468.5	64386	ENSG00000008516.19	ENST00000336577.9	chr16	3046561	3060726	+
GREM2	NM_022469.4	64388	ENSG00000180875.5	ENST00000318160.5	chr1	240489573	240612155	-
ZMAT3	NM_022470.4	64393	ENSG00000172667.11	ENST00000311417.7	chr3	179017223	179071809	-
GMCL1	NM_178439.5	64395	ENSG00000087338.5	ENST00000282570.4	chr2	69829660	69881384	+
GMCL2	NM_001358008.2	64396	ENSG00000244234.3	ENST00000463439.3	chr5	178184505	178187371	-
ZNF106	NM_001366845.3	64397	ENSG00000103994.18	ENST00000564754.7	chr15	42412823	42491141	-
PALS1	NM_022474.4	64398	ENSG00000072415.10	ENST00000261681.9	chr14	67241435	67336061	+
HHIP	NM_022475.3	64399	ENSG00000164161.10	ENST00000296575.8	chr4	144646156	144745271	+
AKTIP	NM_022476.4	64400	ENSG00000166971.17	ENST00000394657.12	chr16	53491040	53503209	-
CDH24	NM_144985.4	64403	ENSG00000139880.21	ENST00000487137.7	chr14	23047067	23057520	-
CDH22	NM_021248.3	64405	ENSG00000149654.11	ENST00000537909.4	chr20	46173739	46308498	-
RGS18	NM_130782.3	64407	ENSG00000150681.10	ENST00000367460.4	chr1	192158462	192185815	+
GALNT17	NM_022479.3	64409	ENSG00000185274.13	ENST00000333538.10	chr7	71132144	71713599	+
KLHL25	NM_022480.4	64410	ENSG00000183655.13	ENST00000337975.6	chr15	85759326	85794925	-
ARAP3	NM_022481.6	64411	ENSG00000120318.16	ENST00000239440.9	chr5	141653402	141682230	-
GZF1	NM_022482.5	64412	ENSG00000125812.16	ENST00000338121.10	chr20	23362182	23373062	+
TMEM267	NM_022483.5	64417	ENSG00000151881.15	ENST00000397080.8	chr5	43444252	43483865	-
TMEM168	NM_022484.6	64418	ENSG00000146802.13	ENST00000312814.11	chr7	112762377	112790393	-
MTMR14	NM_001077525.3	64419	ENSG00000163719.20	ENST00000296003.9	chr3	9649505	9702393	+
SUSD1	NM_022486.5	64420	ENSG00000106868.17	ENST00000374270.8	chr9	112040783	112175297	-
DCLRE1C	NM_001033855.3	64421	ENSG00000152457.19	ENST00000378278.7	chr10	14904613	14954096	-
ATG3	NM_022488.5	64422	ENSG00000144848.11	ENST00000283290.10	chr3	112532510	112561962	-
INF2	NM_022489.4	64423	ENSG00000203485.14	ENST00000392634.9	chr14	104689618	104722535	+
POLR1E	NM_022490.4	64425	ENSG00000137054.16	ENST00000377798.9	chr9	37485948	37503697	+
SUDS3	NM_022491.3	64426	ENSG00000111707.12	ENST00000543473.2	chr12	118376555	118418033	+
TTC31	NM_022492.6	64427	ENSG00000115282.21	ENST00000233623.11	chr2	74483081	74494559	+
CIAO3	NM_022493.3	64428	ENSG00000103245.14	ENST00000251588.7	chr16	729765	740997	-
ZDHHC6	NM_022494.3	64429	ENSG00000023041.12	ENST00000369405.7	chr10	112430300	112446914	-
PCNX4	NM_001330177.2	64430	ENSG00000126773.13	ENST00000406854.6	chr14	60091923	60148221	+
ACTR6	NM_022496.5	64431	ENSG00000075089.10	ENST00000188312.7	chr12	100200815	100224424	+
MRPS25	NM_022497.5	64432	ENSG00000131368.9	ENST00000253686.7	chr3	15048512	15065315	-
NOM1	NM_138400.2	64434	ENSG00000146909.8	ENST00000275820.4	chr7	156949712	156973176	+
DNAI2	NM_023036.6	64446	ENSG00000171595.14	ENST00000311014.11	chr17	74274234	74314884	+
CSMD1	NM_033225.6	64478	ENSG00000183117.20	ENST00000635120.2	chr8	2935361	4994914	-
TPSB2	NM_024164.6	64499	ENSG00000197253.14	ENST00000606293.5	chr16	1228336	1230184	-
CPEB1	NM_001365242.1	64506	ENSG00000214575.10	ENST00000684509.1	chr15	82543201	82647363	-
TEKT3	NM_031898.3	64518	ENSG00000125409.13	ENST00000395930.6	chr17	15303812	15341597	-
ALDH8A1	NM_022568.4	64577	ENSG00000118514.14	ENST00000265605.7	chr6	134917393	134950101	-
NDST4	NM_022569.3	64579	ENSG00000138653.10	ENST00000264363.7	chr4	114827763	115113620	-
CLEC7A	NM_197947.3	64581	ENSG00000172243.18	ENST00000304084.13	chr12	10116777	10130199	-
GPR135	NM_022571.6	64582	ENSG00000181619.12	ENST00000395116.2	chr14	59460759	59465380	-
TSPY2	NM_022573.4	64591	ENSG00000168757.13	ENST00000320701.9	chr24	6246223	6249018	+
MOSPD3	NM_023948.5	64598	ENSG00000106330.12	ENST00000393950.7	chr7	100612540	100615377	+
GIGYF1	NM_001375765.1	64599	ENSG00000146830.11	ENST00000678049.1	chr7	100679507	100694250	-
PLA2G2F	NM_022819.4	64600	ENSG00000158786.5	ENST00000375102.4	chr1	20139323	20150381	+
VPS16	NM_022575.4	64601	ENSG00000215305.10	ENST00000380445.8	chr20	2840745	2866732	+
EBF2	NM_022659.4	64641	ENSG00000221818.9	ENST00000520164.6	chr8	25841725	26045413	-
MFSD14A	NM_033055.3	64645	ENSG00000156875.14	ENST00000370152.8	chr1	100038095	100083377	+
SPANXD	NM_032417.4	64648	ENSG00000196406.4	ENST00000370515.3	chr23	141697411	141698739	-
CSRNP1	NM_033027.4	64651	ENSG00000144655.15	ENST00000273153.10	chr3	39141855	39153591	-
SPANXC	NM_022661.4	64663	ENSG00000198573.7	ENST00000358993.3	chr23	141241463	141242517	-
ANAPC1	NM_022662.4	64682	ENSG00000153107.13	ENST00000341068.8	chr2	111767640	111884193	-
GORASP1	NM_031899.4	64689	ENSG00000114745.15	ENST00000319283.8	chr3	39096599	39107627	-
CTAGE1	NM_172241.3	64693	ENSG00000212710.5	ENST00000391403.4	chr18	22413599	22417915	-
TMPRSS3	NM_001256317.3	64699	ENSG00000160183.17	ENST00000644384.2	chr21	42371890	42396052	-
COPS7B	NM_022730.4	64708	ENSG00000144524.18	ENST00000350033.8	chr2	231786445	231809253	+
NUCKS1	NM_022731.5	64710	ENSG00000069275.13	ENST00000367142.5	chr1	205712822	205750182	-
HS3ST6	NM_001009606.4	64711	ENSG00000162040.7	ENST00000454677.3	chr16	1911475	1918415	-
PDIA2	NM_006849.4	64714	ENSG00000185615.16	ENST00000219406.11	chr16	283164	287215	+
UNKL	NM_001372107.1	64718	ENSG00000059145.19	ENST00000389221.9	chr16	1363205	1414704	-
WDR13	NM_001347217.2	64743	ENSG00000101940.18	ENST00000376729.10	chr23	48597492	48608869	+
SMAP2	NM_022733.3	64744	ENSG00000084070.12	ENST00000372718.8	chr1	40373727	40423322	+
METTL17	NM_022734.3	64745	ENSG00000165792.18	ENST00000339374.11	chr14	20989980	20997035	+
ACBD3	NM_022735.4	64746	ENSG00000182827.9	ENST00000366812.6	chr1	226144679	226186741	-
MFSD1	NM_022736.4	64747	ENSG00000118855.21	ENST00000415822.8	chr3	158802054	158829716	+
PLPPR2	NM_001393892.1	64748	ENSG00000105520.11	ENST00000688289.1	chr19	11355432	11365698	+
SMURF2	NM_022739.4	64750	ENSG00000108854.16	ENST00000262435.14	chr17	64542282	64662307	-
CCDC136	NM_022742.5	64753	ENSG00000128596.17	ENST00000297788.9	chr7	128791968	128822130	+
SMYD3	NM_001167740.2	64754	ENSG00000185420.19	ENST00000490107.6	chr1	245749347	246507279	-
RUSF1	NM_022744.4	64755	ENSG00000140688.18	ENST00000327237.7	chr16	31489475	31508391	-
ATPAF1	NM_001394565.1	64756	ENSG00000123472.13	ENST00000574428.6	chr1	46632737	46668364	-
MTARC1	NM_022746.4	64757	ENSG00000186205.14	ENST00000366910.10	chr1	220786913	220819659	+
TNS3	NM_022748.12	64759	ENSG00000136205.18	ENST00000311160.14	chr7	47275154	47582111	-
FHIP2B	NM_022749.7	64760	ENSG00000158863.22	ENST00000289921.8	chr8	22089150	22104911	+
PARP12	NM_022750.4	64761	ENSG00000059378.13	ENST00000263549.8	chr7	140023749	140062951	-
GAREM1	NM_001242409.2	64762	ENSG00000141441.16	ENST00000269209.7	chr18	32263522	32470882	-
ZNF574	NM_022752.6	64763	ENSG00000105732.13	ENST00000359044.5	chr19	42076166	42081552	+
CREB3L2	NM_194071.4	64764	ENSG00000182158.16	ENST00000330387.11	chr7	137874979	138002086	-
S100PBP	NM_022753.4	64766	ENSG00000116497.18	ENST00000373475.10	chr1	32817653	32858875	+
IPPK	NM_022755.6	64768	ENSG00000127080.10	ENST00000287996.8	chr9	92613183	92670131	-
MEAF6	NM_001270875.3	64769	ENSG00000163875.16	ENST00000296214.10	chr1	37489993	37514766	-
CCDC14	NM_001366335.1	64770	ENSG00000175455.16	ENST00000409697.8	chr3	123913422	123961229	-
ILRUN	NM_024294.4	64771	ENSG00000196821.10	ENST00000374023.8	chr6	34587288	34696767	-
ENGASE	NM_001042573.3	64772	ENSG00000167280.17	ENST00000579016.6	chr17	79074824	79088599	+
PCED1A	NM_022760.6	64773	ENSG00000132635.17	ENST00000360652.7	chr20	2835314	2840655	-
CFAP68	NM_022761.3	64776	ENSG00000137720.8	ENST00000260276.8	chr11	111879541	111885975	+
RMND5B	NM_022762.5	64777	ENSG00000145916.19	ENST00000313386.9	chr5	178131014	178150568	+
FNDC3B	NM_022763.4	64778	ENSG00000075420.13	ENST00000415807.7	chr3	172039578	172401669	+
MTHFSD	NM_001159377.2	64779	ENSG00000103248.19	ENST00000360900.11	chr16	86530186	86555235	-
MICAL1	NM_022765.4	64780	ENSG00000135596.18	ENST00000358807.8	chr6	109444062	109455772	-
CERK	NM_022766.6	64781	ENSG00000100422.14	ENST00000216264.13	chr22	46684410	46738252	-
AEN	NM_022767.4	64782	ENSG00000181026.15	ENST00000332810.4	chr15	88621340	88632281	+
RBM15	NM_022768.5	64783	ENSG00000162775.17	ENST00000369784.9	chr1	110339377	110346677	+
CRTC3	NM_022769.5	64784	ENSG00000140577.17	ENST00000268184.11	chr15	90529923	90645345	+
GINS3	NM_022770.4	64785	ENSG00000181938.14	ENST00000318129.6	chr16	58392471	58406147	+
TBC1D15	NM_001146213.3	64786	ENSG00000121749.16	ENST00000485960.7	chr12	71839759	71924313	+
EPS8L2	NM_022772.4	64787	ENSG00000177106.17	ENST00000318562.13	chr11	706231	727727	+
LMF1	NM_022773.4	64788	ENSG00000103227.19	ENST00000262301.16	chr16	853634	970984	-
EXO5	NM_001346953.2	64789	ENSG00000164002.12	ENST00000415550.6	chr1	40508767	40516038	+
IFT22	NM_022777.4	64792	ENSG00000128581.17	ENST00000315322.10	chr7	101310914	101321812	-
CEP85	NM_001319944.2	64793	ENSG00000130695.16	ENST00000451429.8	chr1	26234200	26278808	+
DDX31	NM_022779.9	64794	ENSG00000125485.18	ENST00000372159.8	chr9	132592997	132669983	-
RMND5A	NM_022780.4	64795	ENSG00000153561.13	ENST00000283632.5	chr2	86720291	86778041	+
DEPTOR	NM_022783.4	64798	ENSG00000155792.10	ENST00000286234.6	chr8	119873722	120050918	+
IQCH	NM_001031715.3	64799	ENSG00000103599.21	ENST00000335894.9	chr15	67254786	67501804	+
EFCAB6	NM_022785.4	64800	ENSG00000186976.15	ENST00000262726.12	chr22	43528778	43812305	-
ARV1	NM_022786.3	64801	ENSG00000173409.14	ENST00000310256.7	chr1	230979094	231000733	+
NMNAT1	NM_022787.4	64802	ENSG00000173614.14	ENST00000377205.6	chr1	9943475	9985498	+
P2RY12	NM_022788.5	64805	ENSG00000169313.10	ENST00000302632.4	chr3	151336843	151384753	-
IL25	NM_172314.2	64806	ENSG00000166090.8	ENST00000397242.3	chr14	23372809	23376403	+
CYP3A43	NM_057095.3	64816	ENSG00000021461.18	ENST00000354829.7	chr7	99828013	99866093	+
ELOVL1	NM_022821.4	64834	ENSG00000066322.15	ENST00000372458.8	chr1	43363401	43368011	-
KLC2	NM_001318734.2	64837	ENSG00000174996.12	ENST00000394067.7	chr11	66257703	66267860	+
FNDC4	NM_022823.3	64838	ENSG00000115226.10	ENST00000264703.4	chr2	27491883	27495200	-
FBXL17	NM_001163315.3	64839	ENSG00000145743.18	ENST00000542267.7	chr5	107859035	108382098	-
PORCN	NM_203475.3	64840	ENSG00000102312.24	ENST00000326194.11	chr23	48508992	48520808	+
GNPNAT1	NM_198066.4	64841	ENSG00000100522.10	ENST00000216410.8	chr14	52775193	52791607	-
ISL2	NM_145805.3	64843	ENSG00000159556.10	ENST00000290759.9	chr15	76336773	76342475	+
